main.py
Gx=2.03 °/s 	Gy=0.10 °/s 	Gz=0.15 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=0.04 g
Gx=2.02 °/s 	Gy=0.09 °/s 	Gz=0.18 °/s 	Ax=1.00 g 	Ay=0.10 g 	Az=0.04 g
Gx=1.97 °/s 	Gy=0.01 °/s 	Gz=0.19 °/s 	Ax=1.01 g 	Ay=0.09 g 	Az=0.02 g
Gx=1.96 °/s 	Gy=0.19 °/s 	Gz=0.23 °/s 	Ax=1.01 g 	Ay=0.11 g 	Az=0.02 g
Gx=1.99 °/s 	Gy=-0.05 °/s 	Gz=0.24 °/s 	Ax=1.01 g 	Ay=0.11 g 	Az=0.03 g
Gx=1.99 °/s 	Gy=0.13 °/s 	Gz=0.27 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.02 g
Gx=1.98 °/s 	Gy=0.08 °/s 	Gz=0.24 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.02 g
Gx=2.05 °/s 	Gy=-1.95 °/s 	Gz=0.21 °/s 	Ax=1.00 g 	Ay=0.10 g 	Az=0.03 g
Gx=1.85 °/s 	Gy=0.09 °/s 	Gz=0.23 °/s 	Ax=1.03 g 	Ay=0.08 g 	Az=0.02 g
Gx=1.91 °/s 	Gy=-0.21 °/s 	Gz=0.15 °/s 	Ax=1.02 g 	Ay=0.10 g 	Az=0.03 g
Gx=1.81 °/s 	Gy=0.27 °/s 	Gz=0.29 °/s 	Ax=1.02 g 	Ay=0.10 g 	Az=0.05 g
Gx=1.90 °/s 	Gy=-0.10 °/s 	Gz=0.16 °/s 	Ax=1.01 g 	Ay=0.10 g 	Az=0.04 g
Gx=1.79 °/s 	Gy=0.12 °/s 	Gz=0.11 °/s 	Ax=0.99 g 	Ay=0.09 g 	Az=0.04 g
Gx=2.44 °/s 	Gy=-0.02 °/s 	Gz=0.51 °/s 	Ax=1.03 g 	Ay=0.05 g 	Az=0.03 g
Gx=2.15 °/s 	Gy=0.11 °/s 	Gz=-0.31 °/s 	Ax=1.08 g 	Ay=0.12 g 	Az=-0.04 g
Gx=2.54 °/s 	Gy=-0.15 °/s 	Gz=-0.16 °/s 	Ax=0.87 g 	Ay=0.04 g 	Az=0.12 g
Gx=2.18 °/s 	Gy=-0.05 °/s 	Gz=-0.73 °/s 	Ax=0.99 g 	Ay=0.06 g 	Az=-0.01 g
Gx=2.02 °/s 	Gy=0.37 °/s 	Gz=-0.89 °/s 	Ax=1.00 g 	Ay=0.02 g 	Az=-0.03 g
Gx=2.04 °/s 	Gy=1.73 °/s 	Gz=0.15 °/s 	Ax=1.00 g 	Ay=0.13 g 	Az=-0.03 g
Gx=-0.15 °/s 	Gy=5.38 °/s 	Gz=2.15 °/s 	Ax=0.99 g 	Ay=0.37 g 	Az=-0.15 g
Gx=0.08 °/s 	Gy=12.21 °/s 	Gz=0.22 °/s 	Ax=1.18 g 	Ay=0.24 g 	Az=-0.56 g
Gx=1.34 °/s 	Gy=15.05 °/s 	Gz=-0.60 °/s 	Ax=1.12 g 	Ay=0.27 g 	Az=-0.41 g
Gx=1.64 °/s 	Gy=12.57 °/s 	Gz=0.66 °/s 	Ax=0.99 g 	Ay=0.15 g 	Az=-0.27 g
Gx=0.45 °/s 	Gy=6.73 °/s 	Gz=-0.40 °/s 	Ax=1.07 g 	Ay=0.25 g 	Az=-0.39 g
Gx=-1.19 °/s 	Gy=3.37 °/s 	Gz=0.38 °/s 	Ax=1.05 g 	Ay=0.01 g 	Az=-0.29 g
Gx=-0.45 °/s 	Gy=-1.60 °/s 	Gz=-0.47 °/s 	Ax=1.17 g 	Ay=-0.16 g 	Az=-0.45 g
Gx=1.11 °/s 	Gy=-4.46 °/s 	Gz=-1.75 °/s 	Ax=1.05 g 	Ay=-0.32 g 	Az=-0.21 g
Gx=1.50 °/s 	Gy=-9.74 °/s 	Gz=2.41 °/s 	Ax=1.30 g 	Ay=-0.34 g 	Az=-0.18 g
Gx=2.77 °/s 	Gy=-26.65 °/s 	Gz=1.46 °/s 	Ax=0.90 g 	Ay=0.07 g 	Az=0.03 g
Gx=7.34 °/s 	Gy=-15.32 °/s 	Gz=0.89 °/s 	Ax=1.17 g 	Ay=0.20 g 	Az=0.61 g
Gx=0.69 °/s 	Gy=-1.70 °/s 	Gz=0.13 °/s 	Ax=1.32 g 	Ay=0.71 g 	Az=0.81 g
Gx=1.40 °/s 	Gy=5.18 °/s 	Gz=-2.37 °/s 	Ax=1.22 g 	Ay=-0.07 g 	Az=-0.31 g
